,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
329,6752536,119826,,,12063.011368914487,1.7745333012663689
330,6780567,119966,,,12113.087114039288,1.7692620690865528
331,6812848,120065,,,12170.755236060397,1.762331993903284
332,6845186,120136,,,12228.525185253997,1.755043617514557
333,6876192,120245,,,12283.915594206212,1.748714986434352
334,6906211,120356,,,12337.542785276864,1.7427211534660612
335,6936327,120390,,,12391.343261184911,1.7356448160532223
336,6967915,120405,,,12447.773379161516,1.7279918024258332
337,7000356,120552,,,12505.72733184225,1.7220838483071432
338,7035489,120653,,,12568.490385371188,1.7149198868763778
339,7073467,120763,,,12636.335865316592,1.707267454559412
340,7110513,120857,,,12702.51638166968,1.699694522743999
341,7149533,120980,,,12772.223333785898,1.6921384935211852
342,7187635,121021,,,12840.290332492516,1.683738809775399
343,7226658,121043,,,12910.002643933602,1.6749512706980183
344,7262958,121232,,,12974.850474836185,1.6691821706803207
345,7303864,121366,,,13047.92665585274,1.661668399083006
346,7347703,121432,,,13126.24247014856,1.6526525364457436
347,7388884,121575,,,13199.809922611348,1.6453770285201392
348,7430143,121700,,,13273.516717520704,1.637922715619336
349,7462144,121734,,,13330.684635887468,1.6313542059761912
350,7494992,121768,,,13389.365670308624,1.6246581717498831
351,7526898,121976,,,13446.363876721236,1.62053478072906
352,7564400,122145,,,13513.359010454256,1.6147348104277934
353,7597473,122269,,,13572.441994240511,1.6093377363762924
354,7633950,122417,,,13637.606025310304,1.6035866098153642
355,7669614,122555,,,13701.317679340877,1.5979291787044303
356,7700753,122614,,,13756.945685028904,1.5922339023209808
357,7732441,122627,,,13813.554447167777,1.585876956578136
358,7760671,122882,,,13863.985694175486,1.5833940132238566
359,7794507,123063,,,13924.431732919831,1.578842638796783
360,7823979,123215,,,13977.081740422886,1.5748380715234538
361,7852005,123366,,,14027.148553339572,1.5711401100737965
362,7877720,123491,,,14073.086899666292,1.5675982390844052
363,7901039,123538,,,14114.744931865116,1.5635665132142746
364,7925681,123570,,,14158.76642633072,1.5591089270436194
365,7953228,123800,,,14207.977533710153,1.5566006657925562
366,7984769,123970,,,14264.323688930494,1.5525809199990632
367,8020241,124121,,,14327.692346169511,1.547596886427727
368,8051924,124243,,,14384.292176100267,1.5430225123833756
369,8084740,124384,,,14442.916044389502,1.5385034027068278
370,8113757,124435,,,14494.753220954246,1.533629858523
371,8144766,124464,,,14550.14898923133,1.5281470333217675
372,8175202,124654,,,14604.521126458629,1.5247818952975107
373,8205448,124813,,,14658.553839777624,1.521099152660525
374,8244111,124957,,,14727.623032234553,1.515712245989895
375,8281117,125080,,,14793.732090922733,1.5104242579835547
376,8316395,125213,,,14856.754178486955,1.505616315723339
377,8349363,125260,,,14915.649585902833,1.5002342094840049
378,8385361,125294,,,14979.957911435373,1.494199236025736
379,8421911,125434,,,15045.252352743615,1.4893769359471978
380,8457187,125563,,,15108.270867424597,1.4846898856558333
381,8496990,125676,,,15179.376603331357,1.4790649394667994
382,8538517,125801,,,15253.562164595583,1.4733354750011038
383,8574315,125913,,,15317.513201803593,1.4684904858288972
384,8605284,125953,,,15372.83751241577,1.4636704610794948
385,8639754,125974,,,15434.41615514888,1.4580739220121313
386,8673344,126117,,,15494.422729254053,1.4540758443340884
387,8713738,126258,,,15566.584252159808,1.4489533653639803
388,8758744,126362,,,15646.984843829274,1.4426954366973164
389,8802632,126477,,,15725.388193764604,1.4368088998835802
390,8841194,126581,,,15794.276955617644,1.4317183855483773
391,8877883,126622,,,15859.81971231144,1.4262634459138512
392,8918807,126656,,,15932.928049277203,1.4201002443488238
